Task,Mode,Subset %,Train Size Used,Validation Size,Session Root,Primary Metric Mean,Primary Metric Std,Acc1 Mean,Acc1 Std,Acc3 Mean,Acc3 Std,Macro-F1 Mean,Macro-F1 Std,Mod Acc Mean,Sig Acc Mean,Best Epoch Mean,Best Epoch Std,Training Time / Run,Total Time,Peak GPU Memory,Peak Host RAM,Status,Notes
rml,lp,1%,"3,696","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,ft2,1%,"3,696","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,lora,1%,"3,696","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lp,1%,"4,536","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,ft2,1%,"4,536","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lora,1%,"4,536","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,lp,3%,"11,088","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,ft2,3%,"11,088","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,lora,3%,"11,088","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lp,3%,"13,608","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,ft2,3%,"13,608","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lora,3%,"13,608","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,lp,5%,"18,480","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_5pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,ft2,5%,"18,480","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_5pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,lora,5%,"18,480","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_5pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lp,5%,"22,680","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_5pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,ft2,5%,"22,680","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_5pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lora,5%,"22,680","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_5pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,lp,10%,"36,960","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,ft2,10%,"36,960","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,lora,10%,"36,960","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lp,10%,"45,360","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,ft2,10%,"45,360","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lora,10%,"45,360","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,lp,50%,"184,800","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_50pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,ft2,50%,"184,800","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_50pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
rml,lora,50%,"184,800","92,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_50pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lp,50%,"226,800","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_50pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,ft2,50%,"226,800","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_50pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
radcom,lora,50%,"226,800","113,400",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_50pct_20260424_ngwn06,,,,,,,,,,,,,,,,,planned,
