Task,Mode,Subset %,Train Size Used,Session Root,Subset Primary Metric,Local Full-Data Baseline,Official Baseline,Delta vs Local Full-Data,Delta vs Official,Retention vs Local Full-Data (%),Retention vs Official (%),Relative Time vs Full-Data,Status,Notes
rml,lp,1%,"3,696",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,50.39,50.39,,,,,,planned,
rml,ft2,1%,"3,696",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,55.14,55.16,,,,,,planned,
rml,lora,1%,"3,696",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,56.42,56.49,,,,,,planned,
radcom,lp,1%,"4,536",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,90.12,90.10,,,,,,planned,
radcom,ft2,1%,"4,536",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,94.61,94.53,,,,,,planned,
radcom,lora,1%,"4,536",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,,94.07,93.78,,,,,,planned,
rml,lp,3%,"11,088",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,50.39,50.39,,,,,,planned,
rml,ft2,3%,"11,088",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,55.14,55.16,,,,,,planned,
rml,lora,3%,"11,088",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,56.42,56.49,,,,,,planned,
radcom,lp,3%,"13,608",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,90.12,90.10,,,,,,planned,
radcom,ft2,3%,"13,608",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,94.61,94.53,,,,,,planned,
radcom,lora,3%,"13,608",/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,,94.07,93.78,,,,,,planned,
