bundle_json_path,delta_local_minus_official,local_primary_mean,local_primary_std,local_run_count,local_runs_json_path,local_summary_json_path,mode,official_payload_pointer,official_primary,official_source_updated,official_source_url,official_split,official_task_json_path,primary_metric,session_name,session_root,status,task,task_name
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/sensing/lp.json,-0.2855192057291731,94.13448079427083,1.7361685609434936,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.sensing.modes.lp,94.42,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/sensing.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/sensing/ft2.json,-0.7109272257487049,98.5990727742513,0.15122514506827398,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.sensing.modes.ft2,99.31,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/sensing.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/sensing/lora.json,0.23325978597004848,98.70325978597005,0.31184761340990114,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.sensing.modes.lora,98.47,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/sensing.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/pos/lp.json,-0.031007769902547277,3.1389922300974527,0.035674027249740684,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.pos.modes.lp,3.17,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/pos.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,pos,5G NR Positioning
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/pos/ft2.json,0.01997583071390796,1.259975830713908,0.08362600578326013,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.pos.modes.ft2,1.24,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/pos.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,pos,5G NR Positioning
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/pos/lora.json,0.055098104476928755,1.5050981044769287,0.06843809651598973,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.pos.modes.lora,1.45,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/pos.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,pos,5G NR Positioning
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/radcom/lp.json,0.022790018717458338,90.12279001871745,0.052464288144120394,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.radcom.modes.lp,90.1,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/radcom.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,radcom,RADCOM Signal Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/radcom/ft2.json,0.08479441324870152,94.6147944132487,0.052184023980090005,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.radcom.modes.ft2,94.53,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/radcom.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,radcom,RADCOM Signal Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/radcom/lora.json,0.2854576619466087,94.06545766194661,0.3188111546575394,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.radcom.modes.lora,93.78,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/radcom.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,radcom,RADCOM Signal Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/uwb-indoor/lp.json,0.011078980763753243,1.4410789807637532,0.018744013797438182,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.uwb-indoor.modes.lp,1.43,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/uwb-indoor.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,uwb-indoor,UWB Indoor Positioning
