best_checkpoint_path,best_entry_source,best_epoch,best_key,best_metric,initial_launch_host,latest_checkpoint_path,launch_history,launch_host,log_path,metadata_path,mode,primary_metric,resume_checkpoint,run_dir,run_origin,seed,session_name,session_root,status,task,task_name,train.acc1,train.loss,val.acc1,val.acc3,val.det_acc,val.f1_macro,val.loss,val.mean_distance_error,val.mean_error,val.median_distance_error,val.median_error,val.mod_acc,val.p75_distance_error,val.p75_error,val.p90_distance_error,val.p90_error,val.pca,val.per_class_acc,val.sig_acc,val.stdev_distance_error,val.stdev_error
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s0/best.pth,log,65,pca,96.58978271484375,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s0/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s0/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s0/metadata.json,lp,pca,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s0,fresh,0,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing,97.13541666666667,0.5589123566945394,96.66667175292969,100.00000762939453,,,0.5806959867477417,,,,,,,,,,96.58978271484375,,,,
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s1/best.pth,log,59,pca,92.90040588378906,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s1/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s1/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s1/metadata.json,lp,pca,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s1,fresh,1,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing,93.48958333333333,0.5841764211654663,92.91667175292969,100.00000762939453,,,0.6042683124542236,,,,,,,,,,92.90040588378906,,,,
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s2/best.pth,log,72,pca,92.91325378417969,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s2/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s2/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s2/metadata.json,lp,pca,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lp/s2,fresh,2,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing,93.88020833333333,0.602609912554423,92.50000762939453,100.00000762939453,,,0.6294237375259399,,,,,,,,,,92.91325378417969,,,,
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s0/best.pth,log,39,pca,98.68663787841797,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s0/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s0/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s0/metadata.json,ft2,pca,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s0,fresh,0,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing,99.73958333333333,0.4333507517973582,98.75000762939453,100.00000762939453,,,0.46212536096572876,,,,,,,,,,98.68663787841797,,,,
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s1/best.pth,log,34,pca,98.7242660522461,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s1/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s1/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s1/metadata.json,ft2,pca,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s1,fresh,1,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing,100.0,0.42285622159639996,98.75000762939453,100.00000762939453,,,0.45607423782348633,,,,,,,,,,98.7242660522461,,,,
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s2/best.pth,log,27,pca,98.38631439208984,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s2/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s2/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s2/metadata.json,ft2,pca,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/ft2/s2,fresh,2,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing,100.0,0.4317095975081126,98.33333587646484,100.00000762939453,,,0.47279834747314453,,,,,,,,,,98.38631439208984,,,,
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s0/best.pth,log,36,pca,98.61309814453125,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s0/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s0/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s0/metadata.json,lora,pca,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s0,fresh,0,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing,99.86979166666667,0.4282692571481069,98.75000762939453,100.00000762939453,,,0.4549178183078766,,,,,,,,,,98.61309814453125,,,,
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s1/best.pth,log,40,pca,99.12220764160156,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s1/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s1/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s1/metadata.json,lora,pca,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s1,fresh,1,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing,100.0,0.4237678349018097,99.16667175292969,100.00000762939453,,,0.45151105523109436,,,,,,,,,,99.12220764160156,,,,
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s2/best.pth,log,38,pca,98.37447357177734,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s2/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s2/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s2/metadata.json,lora,pca,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/sensing/lora/s2,fresh,2,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing,100.0,0.42749057213465375,98.33333587646484,100.00000762939453,,,0.46726030111312866,,,,,,,,,,98.37447357177734,,,,
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/pos/lp/s0/best.pth,log,98,mean_distance_error,3.1188981533050537,ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/pos/lp/s0/checkpoint_099.pth,['ngwn06'],ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/pos/lp/s0/log.txt,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/pos/lp/s0/metadata.json,lp,mean_error,,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/by_task/pos/lp/s0,fresh,0,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,pos,5G NR Positioning,,0.0039180317156327265,,,,,0.0044043610815800004,3.1188981533050537,3.1188981533050537,2.7510769367218018,2.7510769367218018,,4.1021504402160645,4.1021504402160645,5.668713569641113,5.668713569641113,,,,1.9352446794509888,1.9352446794509888
